Country,Country code,State,State code,State type,Date,Category,Subcategory,Variable,Unit,Value,Year,Month,,,,,,,,,
India,IND,India Total,IN,total,01/10/2020,Electricity generation,Fuel,Solar,GWh,4876.01,2020,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2020,Electricity generation,Fuel,Wind,GWh,3989.93,2020,10,,,,,,,,,
India,IND,India Total,IN,total,01/11/2020,Electricity generation,Fuel,Bioenergy,GWh,1741.35,2020,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2020,Electricity generation,Fuel,Coal,GWh,78714.7,2020,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2020,Electricity generation,Fuel,Gas,GWh,3799.87,2020,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2020,Electricity generation,Fuel,Hydro,GWh,9273.35,2020,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2020,Electricity generation,Fuel,Nuclear,GWh,3830.99,2020,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2020,Electricity generation,Fuel,Other Fossil,GWh,20.89,2020,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2020,Electricity generation,Fuel,Other Renewables,GWh,161.69,2020,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2020,Electricity generation,Fuel,Solar,GWh,4592.33,2020,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2020,Electricity generation,Fuel,Wind,GWh,3305.21,2020,11,,,,,,,,,
India,IND,India Total,IN,total,01/12/2020,Electricity generation,Fuel,Bioenergy,GWh,2310.6,2020,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2020,Electricity generation,Fuel,Coal,GWh,87910.39,2020,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2020,Electricity generation,Fuel,Gas,GWh,3492.53,2020,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2020,Electricity generation,Fuel,Hydro,GWh,8857.22,2020,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2020,Electricity generation,Fuel,Nuclear,GWh,3894.84,2020,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2020,Electricity generation,Fuel,Other Fossil,GWh,8.11,2020,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2020,Electricity generation,Fuel,Other Renewables,GWh,167.18,2020,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2020,Electricity generation,Fuel,Solar,GWh,4748.53,2020,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2020,Electricity generation,Fuel,Wind,GWh,3815.72,2020,12,,,,,,,,,
India,IND,India Total,IN,total,01/01/2021,Electricity generation,Fuel,Bioenergy,GWh,2344.03,2021,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2021,Electricity generation,Fuel,Coal,GWh,94164.84,2021,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2021,Electricity generation,Fuel,Gas,GWh,3016.2,2021,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2021,Electricity generation,Fuel,Hydro,GWh,8537.61,2021,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2021,Electricity generation,Fuel,Nuclear,GWh,3214.5,2021,1,,,,,,,,,
